job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,phase
job-d39hc3oitjus73f8a1og,20250923_215007,c_central,1,8192,2,0.5384521484375,0.9957295400991815,0.923095703125,[0.923095703125],0.9957295400991815,2025-09-23 21:50:07,0.0,Control
job-d39hc3oitjus73f8a1og,20250923_215007,c_inner,5,8192,32,0.0460205078125,0.9908697700468807,0.9722900390625,"[0.97509765625, 0.80712890625, 0.922607421875, 0.89599609375, 0.962890625]",4.954348850234403,2025-09-23 21:50:07,0.0,Control
job-d39hc3oitjus73f8a1og,20250923_215007,c_middle,5,8192,32,0.04052734375,0.996643237045047,0.9815673828125,"[0.9638671875, 0.92822265625, 0.98193359375, 0.98291015625, 0.887451171875]",4.983216185225235,2025-09-23 21:50:07,0.0,Control
job-d39hc3oitjus73f8a1og,20250923_215007,c_outer,5,8192,32,0.0465087890625,0.9907390552048836,0.969970703125,"[0.893310546875, 0.9482421875, 0.976806640625, 0.973876953125, 0.877197265625]",4.953695276024418,2025-09-23 21:50:07,0.0,Control
job-d39hd18itjus73f8a2l0,20250923_215206,c_central,1,8192,2,0.5343017578125,0.9966023514035485,0.931396484375,[0.931396484375],0.9966023514035485,2025-09-23 21:52:06,1.9833333333333334,Control
job-d39hd18itjus73f8a2l0,20250923_215206,c_inner,5,8192,32,0.0447998046875,0.9915100076586167,0.9737548828125,"[0.9619140625, 0.817138671875, 0.9189453125, 0.903564453125, 0.948974609375]",4.957550038293084,2025-09-23 21:52:06,1.9833333333333334,Control
job-d39hd18itjus73f8a2l0,20250923_215206,c_middle,5,8192,32,0.0457763671875,0.9956180256640659,0.9781494140625,"[0.939453125, 0.935546875, 0.956787109375, 0.98828125, 0.871826171875]",4.978090128320329,2025-09-23 21:52:06,1.9833333333333334,Control
job-d39hd18itjus73f8a2l0,20250923_215206,c_outer,5,8192,32,0.0458984375,0.9902559273380384,0.9700927734375,"[0.894287109375, 0.951904296875, 0.95556640625, 0.959228515625, 0.851318359375]",4.951279636690192,2025-09-23 21:52:06,1.9833333333333334,Control
job-d39hdvkgenls73cfv8l0,20250923_215406,c_central,1,8192,2,0.527587890625,0.9978028379101866,0.94482421875,[0.94482421875],0.9978028379101866,2025-09-23 21:54:06,3.9833333333333334,Control
job-d39hdvkgenls73cfv8l0,20250923_215406,c_inner,5,8192,32,0.052490234375,0.9905949299940937,0.962646484375,"[0.9638671875, 0.826171875, 0.891357421875, 0.882080078125, 0.943115234375]",4.952974649970469,2025-09-23 21:54:06,3.9833333333333334,Control
